feature,category,phishing_mean,benign_mean,phishing_median,benign_median,mean_diff_phish_minus_benign,median_diff_phish_minus_benign,mannwhitney_p_value,ks_p_value,auc_direction_phish_larger,single_feature_auc,cliffs_delta,q_value,is_effective
bin_5_byte_fraction,time_bins,0.22233255507934643,0.15598780632463122,0.15078937148762586,0.07573556959384112,0.06634474875471522,0.07505380189378474,1.566947435237123e-119,5.1778172764124e-93,0.5948848984898489,0.5948848984898489,0.18976979697969787,3.482105411638051e-119,False
iat_lt_005_ratio,iat_thresholds,0.7054408025280224,0.8152453880466534,0.8118279569892473,0.8863584498568524,-0.10980458551863093,-0.07453049286760516,5.840361987243931e-118,7.839087163871721e-165,0.40575327532753275,0.5942467246724672,-0.1884934493449345,1.2696439102704199e-117,False
first_10_bytes_fraction,early_window,0.2109757357388012,0.11210087209192703,0.020699527552197863,0.008672737877827467,0.09887486364687419,0.012026789674370396,1.3773864149221164e-116,2.990481345032934e-159,0.5936745574557456,0.5936745574557456,0.1873491149114912,2.8695550310877427e-116,False
pkt_len_q90,packet_length_stats,1203.4503550355034,1360.9912800000002,1466.0,1466.0,-157.54092496449675,0.0,1.4442086766890857e-169,3.2328610455626686e-138,0.4071056705670567,0.5928943294329433,-0.18578865886588658,6.877184174709932e-169,False
iat_std,iat_stats,0.22904446137997606,0.13127050039442698,0.06483809944737567,0.041656371279223364,0.09777396098554908,0.02318172816815231,1.1747399821210812e-110,2.4526286798165726e-83,0.5912530653065307,0.5912530653065307,0.1825061306130613,2.3494799642421623e-110,False
iat_var,iat_stats,0.1968665325594046,0.09036115461540876,0.004203979139947777,0.0017352532742122761,0.10650537794399582,0.0024687258657355013,1.1747399821210812e-110,2.4526286798165726e-83,0.5912530653065307,0.5912530653065307,0.1825061306130613,2.3494799642421623e-110,False
first_burst_byte_fraction_100ms,burst_100ms,0.08372960978071044,0.08236453256360785,0.0012736149437486733,0.00022729543654927768,0.0013650772171025921,0.0010463195071993957,1.1076151774273693e-107,1.6610116905402776e-137,0.5899760476047605,0.5899760476047605,0.17995209520952105,2.1717944655438613e-107,False
iat_q90,iat_stats,0.37129975178799934,0.16952504896364728,0.02914597988128692,0.0065345048904419225,0.20177470282435206,0.022611474990845,5.500198237372047e-100,1.406254579223575e-200,0.5866589208920893,0.5866589208920893,0.17331784178417853,1.0377732523343484e-99,False
pkt_le_256_ratio,packet_length_distribution,0.5282925726419644,0.45397192375357126,0.4885057471264368,0.4302154840706435,0.07432064888839313,0.05829026305579332,4.5094569917634e-93,1.5258456889708886e-166,0.583525592559256,0.583525592559256,0.1670511851185119,8.350846281043334e-93,False
pkt_le_128_ratio,packet_length_distribution,0.4970530421215044,0.42314145506118384,0.45255474452554745,0.3986448226255701,0.07391158706032058,0.05390992189997734,4.774292614785397e-93,5.431378307711593e-170,0.5835154365436543,0.5835154365436543,0.16703087308730868,8.680532026882539e-93,False
pkt_le_512_ratio,packet_length_distribution,0.5709408971639938,0.49464423417374537,0.5319148936170213,0.4667189952904239,0.0762966629902484,0.06519589832659739,6.542686284225997e-88,3.71876353458504e-190,0.5811152415241524,0.5811152415241524,0.16223048304830479,1.12804935934931e-87,False
iat_q75,iat_stats,0.16196087865021624,0.06936793544724949,0.0023385286331173427,0.0011535286903381348,0.09259294320296675,0.001184999942779208,5.800596473168664e-86,3.0199883328149135e-158,0.5802222322232223,0.5802222322232223,0.16044446444644467,9.831519446048584e-86,False
